iter	Passed	Remaining
0	1	108
1	1	95
2	2	88
3	3	86
4	4	81
5	5	80
6	5	77
7	6	75
8	7	73
9	7	71
10	8	70
11	9	68
12	10	68
13	11	69
14	12	68
15	12	68
16	13	67
17	14	66
18	15	65
19	16	64
20	17	64
21	17	62
22	18	61
23	19	61
24	20	60
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	25	55
31	25	54
32	26	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	40	39
51	41	37
52	42	37
53	43	36
54	44	36
55	45	35
56	46	34
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	56	24
70	57	23
71	58	22
72	59	22
73	60	21
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	75	6
92	76	5
93	76	4
94	77	4
95	78	3
96	79	2
97	80	1
98	80	0
99	81	0
