iter	Passed	Remaining
0	137	137168
1	139	69559
2	141	47109
3	144	36034
4	148	29517
5	150	24889
6	152	21637
7	154	19182
8	156	17266
9	159	15759
10	162	14629
11	164	13578
12	166	12673
13	168	11884
14	171	11229
15	173	10655
16	175	10151
17	177	9690
18	179	9274
19	182	8923
20	184	8591
21	185	8263
22	187	7966
23	189	7716
24	191	7455
25	192	7221
26	195	7031
27	196	6825
28	197	6629
29	199	6454
30	201	6283
31	202	6124
32	204	5983
33	205	5850
34	208	5736
35	209	5615
36	211	5497
37	212	5385
38	214	5276
39	215	5177
40	217	5086
41	219	4998
42	220	4917
43	222	4830
44	224	4755
45	225	4678
46	227	4607
47	229	4548
48	231	4484
49	232	4422
50	234	4364
51	235	4299
52	237	4238
53	238	4179
54	240	4133
55	242	4089
56	244	4040
57	245	3989
58	246	3936
59	248	3893
60	250	3849
61	251	3802
62	253	3771
63	255	3734
64	257	3697
65	258	3660
66	260	3624
67	261	3590
68	263	3553
69	264	3517
70	266	3488
71	268	3457
72	269	3426
73	271	3392
74	272	3362
75	274	3331
76	276	3310
77	277	3280
78	279	3257
79	281	3233
80	282	3203
81	283	3175
82	284	3141
83	285	3116
84	287	3093
85	288	3068
86	290	3043
87	292	3027
88	293	3003
89	295	2985
90	296	2964
91	298	2944
92	300	2926
93	301	2906
94	303	2886
95	304	2871
96	306	2855
97	308	2836
98	309	2816
99	310	2798
100	312	2782
101	314	2765
102	315	2750
103	317	2739
104	319	2724
105	321	2709
106	322	2694
107	324	2679
108	325	2663
109	327	2647
110	329	2640
111	331	2626
112	332	2612
113	334	2598
114	335	2584
115	337	2569
116	338	2552
117	339	2539
118	341	2530
119	344	2523
120	345	2511
121	346	2495
122	348	2483
123	349	2472
124	351	2461
125	353	2450
126	354	2438
127	356	2427
128	357	2417
129	359	2406
130	361	2395
131	362	2385
132	364	2374
133	366	2367
134	368	2360
135	370	2350
136	371	2339
137	372	2328
138	374	2318
139	375	2308
140	377	2298
141	378	2285
142	380	2282
143	382	2271
144	383	2262
145	385	2253
146	386	2243
147	388	2235
148	389	2226
149	391	2217
150	393	2211
151	394	2202
152	396	2194
153	397	2184
154	398	2174
155	400	2166
156	401	2156
157	402	2147
158	404	2141
159	406	2136
160	407	2125
161	409	2117
162	410	2108
163	412	2100
164	413	2093
165	415	2085
166	416	2077
167	418	2073
168	420	2066
169	421	2059
170	423	2052
171	424	2045
172	426	2037
173	427	2030
174	428	2022
175	431	2018
176	432	2011
177	434	2005
178	436	1999
179	437	1994
180	439	1988
181	440	1981
182	442	1976
183	444	1970
184	445	1963
185	447	1957
186	448	1950
187	450	1943
188	451	1938
189	453	1932
190	455	1929
191	457	1925
192	459	1919
193	460	1913
194	462	1907
195	463	1900
196	464	1893
197	466	1888
198	467	1883
199	469	1879
200	471	1875
201	473	1869
202	474	1864
203	476	1859
204	478	1855
205	480	1850
206	481	1845
207	483	1839
208	484	1835
209	486	1829
210	487	1822
211	488	1817
212	490	1811
213	491	1805
214	493	1802
215	495	1798
216	497	1793
217	498	1788
218	500	1783
219	501	1777
220	502	1771
221	504	1766
222	506	1763
223	507	1759
224	509	1755
225	511	1751
226	512	1746
227	514	1742
228	516	1737
229	517	1732
230	519	1730
231	521	1726
232	522	1721
233	524	1716
234	525	1711
235	527	1707
236	528	1702
237	530	1699
238	533	1698
239	534	1693
240	536	1689
241	537	1685
242	539	1680
243	541	1677
244	542	1672
245	544	1670
